longitude,beds,days_on_mls,rent,baths,latitude
-122.272074,1.0,103,2695.0,1.0,37.86338
-122.272074,2.0,103,3672.5,1.5,37.86338
-122.272074,3.0,103,4650.0,2.0,37.86338
-122.277557,2.0,22,3200.0,1.0,37.874301
-122.288962,1.0,44,2195.0,1.0,37.882463
-122.27,0.0,1,2495.0,1.0,37.882631
-122.276196,1.0,198,2095.0,1.0,37.881373
-122.275781,2.0,190,2495.0,1.0,37.879029
-122.286144,0.0,311,2331.0,1.0,37.851819
-122.286144,1.0,311,2719.0,1.3,37.851819
-122.286144,2.0,311,3107.0,1.7,37.851819
-122.286144,3.0,311,3495.0,2.0,37.851819
-122.270094,2.0,0,2595.0,1.0,37.864359
-122.267866,0.0,148,2100.0,1.0,37.891018
-122.29918,0.0,81,2688.0,1.0,37.8673
-122.29918,1.0,81,3427.0,1.5,37.8673
-122.29918,2.0,81,4166.0,2.0,37.8673
-122.30101,0.0,345,2270.0,1.0,37.86635
-122.30101,1.0,345,3267.5,1.5,37.86635
-122.30101,2.0,345,4265.0,2.0,37.86635
-122.263867,0.0,15,1995.0,1.0,37.867369
-122.26623,0.0,112,1795.0,1.0,37.875837
-122.26623,1.0,112,1995.0,1.0,37.875837
-122.244375,2.0,106,2595.0,1.0,37.858872
-122.246852,5.0,206,10700.0,5.0,37.852344
-122.259145,1.0,118,2395.0,1.0,37.862505
-122.259145,2.0,118,3995.0,2.0,37.862505
-122.27025,2.0,163,2995.0,1.0,37.879923
-122.26953,1.0,59,1133.0,1.0,37.86793
-122.26953,2.0,59,3094.0,1.0,37.86793
-122.268924,0.0,93,2900.0,1.0,37.866085
-122.268924,1.0,93,8533.33,1.3,37.866085
-122.268924,2.0,93,14166.67,1.7,37.866085
-122.268924,3.0,93,19800.0,2.0,37.866085
-122.284437,2.0,8,2400.0,1.0,37.852362
-122.268743,2.0,1,2345.0,1.0,37.796411
-122.257259,0.0,6,1976.67,,37.876703
-122.292775,2.0,8,2650.0,1.0,37.860955
-122.26171,2.0,8,2495.0,1.0,37.864973
-122.277784,,21,3301.35,,37.871607
-122.268226,1.0,0,1995.0,1.0,37.8636
-122.276485,1.0,170,1100.0,1.0,37.868902
-122.254708,2.0,0,2695.0,1.0,37.863766
-122.254708,3.0,0,3295.0,1.0,37.863766
-122.276399,2.0,1,2295.0,,37.848371
-122.274377,2.0,0,2200.0,1.0,37.860932
-122.250019,0.0,2,1976.67,,37.867002
-122.237845,3.0,1,6975.0,4.0,37.859981
-122.269858,1.0,77,2342.0,1.0,37.868209
-122.269858,2.0,77,3094.0,1.0,37.868209
-122.260988,1.0,164,2450.0,1.0,37.864646
-122.254211,1.0,47,3995.0,1.0,37.864831
-122.254211,2.0,47,4995.0,1.5,37.864831
-122.254211,3.0,47,5995.0,2.0,37.864831
-122.253243,2.0,6,3295.0,1.0,37.867332
-122.252469,0.0,2,1976.67,,37.866094
-122.267737,1.0,337,2650.0,1.0,37.872658
-122.267737,2.0,337,3850.0,1.0,37.872658
-122.265706,1.0,22,2995.0,1.0,37.874551
-122.268558,1.0,2,2300.0,1.0,37.8787
-122.265799,0.0,42,2295.0,1.0,37.87534
-122.265791,0.0,1,1976.67,,37.874387
-122.264323,0.0,25,2200.0,1.0,37.861337
-122.264358,2.0,0,2925.0,1.0,37.853566
-122.269239,,314,3301.35,,37.866997
-122.272017,1.0,1,2150.0,1.0,37.850256
-122.28124,4.0,159,4200.0,1.0,37.860652
-122.269277,1.0,117,2495.0,1.0,37.864923
-122.269277,2.0,117,3861.67,1.3,37.864923
-122.269277,3.0,117,5228.33,1.7,37.864923
-122.269277,4.0,117,6595.0,2.0,37.864923
-122.279419,0.0,352,2295.0,1.0,37.869967
-122.274452,0.0,39,1825.0,1.0,37.874328
-122.270294,2.0,268,2999.0,1.0,37.874859
-122.270573,2.0,50,2550.0,1.0,37.84821
-122.272173,2.0,296,2950.0,1.0,37.881532
-122.277213,2.0,8,2500.0,1.0,37.850496
-122.265363,,30,3301.35,,37.863048
-122.274703,1.0,47,2050.0,1.0,37.85229
-122.276268,2.0,18,2650.0,1.0,37.852082
-122.280627,0.0,10,1900.0,1.0,37.851164
-122.266623,2.0,180,2850.0,2.0,37.854365
-122.269345,1.0,91,2362.0,1.0,37.855761
-122.252946,0.0,31,1995.0,1.0,37.859141
-122.263448,2.0,40,2775.0,1.0,37.860165
-122.275488,2.0,101,2400.0,1.0,37.858595
-122.253829,0.0,2,1976.67,,37.861213
-122.280432,0.0,1,1995.0,1.0,37.858409
-122.275225,3.0,90,6800.0,3.0,37.858003
-122.278414,2.0,1,3598.0,1.0,37.857376
-122.289124,2.0,1,3337.97,1.0,37.864485
-122.282512,4.0,1,6000.0,3.0,37.856099
-122.250433,0.0,6,1976.67,,37.868137
-122.263452,5.0,266,6575.0,3.0,37.864906
-122.257378,0.0,180,1795.0,1.0,37.86458
-122.251178,5.0,1,6982.0,3.0,37.864767
-122.26449,2.0,20,3695.0,1.0,37.862114
-122.274851,2.0,75,2095.0,1.0,37.863962
-122.257937,0.0,6,1976.67,,37.862648
