longitude,beds,days_on_mls,rent,baths,latitude,distance_to_ucb_km
-122.272074,1.0,103,2695.0,1.0,37.86338,1.3391774578886588
-122.272074,2.0,103,3672.5,1.5,37.86338,1.3391774578886588
-122.272074,3.0,103,4650.0,2.0,37.86338,1.3391774578886588
-122.277557,2.0,22,3200.0,1.0,37.874301,1.6492527192546111
-122.288962,1.0,44,2195.0,1.0,37.882463,2.923386355996725
-122.27,0.0,1,2495.0,1.0,37.882631,1.6613181475171035
-122.276196,1.0,198,2095.0,1.0,37.881373,1.9211923067201404
-122.275781,2.0,190,2495.0,1.0,37.879029,1.7337585337128802
-122.286144,0.0,311,2331.0,1.0,37.851819,3.1062078628089123
-122.286144,1.0,311,2719.0,1.3,37.851819,3.1062078628089123
-122.286144,2.0,311,3107.0,1.7,37.851819,3.1062078628089123
-122.286144,3.0,311,3495.0,2.0,37.851819,3.1062078628089123
-122.270094,2.0,0,2595.0,1.0,37.864359,1.1343059660802859
-122.267866,0.0,148,2100.0,1.0,37.891018,2.428512442996896
-122.29918,0.0,81,2688.0,1.0,37.8673,3.497981239688759
-122.29918,1.0,81,3427.0,1.5,37.8673,3.497981239688759
-122.29918,2.0,81,4166.0,2.0,37.8673,3.497981239688759
-122.30101,0.0,345,2270.0,1.0,37.86635,3.668808262010111
-122.30101,1.0,345,3267.5,1.5,37.86635,3.668808262010111
-122.30101,2.0,345,4265.0,2.0,37.86635,3.668808262010111
-122.263867,0.0,15,1995.0,1.0,37.867369,0.4960224466649364
-122.26623,0.0,112,1795.0,1.0,37.875837,0.8612995321256108
-122.26623,1.0,112,1995.0,1.0,37.875837,0.8612995321256108
-122.244375,2.0,106,2595.0,1.0,37.858872,1.8301705127361951
-122.246852,5.0,206,10700.0,5.0,37.852344,2.2748771028561596
-122.259145,1.0,118,2395.0,1.0,37.862505,0.856212247141229
-122.259145,2.0,118,3995.0,2.0,37.862505,0.856212247141229
-122.27025,2.0,163,2995.0,1.0,37.879923,1.4349786198825616
-122.26953,1.0,59,1133.0,1.0,37.86793,0.9158917012076482
-122.26953,2.0,59,3094.0,1.0,37.86793,0.9158917012076482
-122.268924,0.0,93,2900.0,1.0,37.866085,0.945353544112294
-122.268924,1.0,93,8533.33,1.3,37.866085,0.945353544112294
-122.268924,2.0,93,14166.67,1.7,37.866085,0.945353544112294
-122.268924,3.0,93,19800.0,2.0,37.866085,0.945353544112294
-122.284437,2.0,8,2400.0,1.0,37.852362,2.954106694999565
-122.268743,2.0,1,2345.0,1.0,37.796411,8.245018021470381
-122.257259,0.0,6,1976.67,,37.876703,0.7493769379856959
-122.292775,2.0,8,2650.0,1.0,37.860955,3.0965998718964483
-122.26171,2.0,8,2495.0,1.0,37.864973,0.6127366152660736
-122.277784,,21,3301.35,,37.871607,1.6125190540830803
-122.268226,1.0,0,1995.0,1.0,37.8636,1.0608101202562206
-122.276485,1.0,170,1100.0,1.0,37.868902,1.4978865338741438
-122.254708,2.0,0,2695.0,1.0,37.863766,0.8299294914878269
-122.254708,3.0,0,3295.0,1.0,37.863766,0.8299294914878269
-122.276399,2.0,1,2295.0,,37.848371,2.844758738354228
-122.274377,2.0,0,2200.0,1.0,37.860932,1.6635952516036543
-122.250019,0.0,2,1976.67,,37.867002,0.9050262634141188
-122.237845,3.0,1,6975.0,4.0,37.859981,2.2146822763169647
-122.269858,1.0,77,2342.0,1.0,37.868209,0.9357787966887096
-122.269858,2.0,77,3094.0,1.0,37.868209,0.9357787966887096
-122.260988,1.0,164,2450.0,1.0,37.864646,0.6312384400915135
-122.254211,1.0,47,3995.0,1.0,37.864831,0.7562836939256237
-122.254211,2.0,47,4995.0,1.5,37.864831,0.7562836939256237
-122.254211,3.0,47,5995.0,2.0,37.864831,0.7562836939256237
-122.253243,2.0,6,3295.0,1.0,37.867332,0.6351073592731064
-122.252469,0.0,2,1976.67,,37.866094,0.7677020167484099
