longitude,city,beds,days_on_mls,rent,baths,latitude,neighborhood
-122.272074,Berkeley,1,103,2695.0,1.0,37.86338,Southside
-122.272074,Berkeley,2,103,3672.5,1.5,37.86338,Southside
-122.272074,Berkeley,3,103,4650.0,2.0,37.86338,Southside
-122.277557,Berkeley,2,22,3200.0,1.0,37.874301,Central Berkeley
-122.288962,Berkeley,1,44,2195.0,1.0,37.882463,Albany
-122.27,Berkeley,Studio,1,2495.0,1.0,37.882631,North Berkeley
-122.276196,Berkeley,1,198,2095.0,1.0,37.881373,Central Berkeley
-122.275781,Berkeley,2,190,2495.0,1.0,37.879029,Central Berkeley
-122.286144,Berkeley,Studio,311,2331.0,1.0,37.851819,West Berkeley
-122.286144,Berkeley,1,311,2719.0,1.3,37.851819,West Berkeley
-122.286144,Berkeley,2,311,3107.0,1.7,37.851819,West Berkeley
-122.286144,Berkeley,3,311,3495.0,2.0,37.851819,West Berkeley
-122.270094,Berkeley,2,0,2595.0,1.0,37.864359,Southside
-122.267866,Berkeley,Studio,148,2100.0,1.0,37.891018,Thousand Oaks
-122.29918,Berkeley,Studio,81,2688.0,1.0,37.8673,West Berkeley
-122.29918,Berkeley,1,81,3427.0,1.5,37.8673,West Berkeley
-122.29918,Berkeley,2,81,4166.0,2.0,37.8673,West Berkeley
-122.30101,Berkeley,Studio,345,2270.0,1.0,37.86635,West Berkeley
-122.30101,Berkeley,1,345,3267.5,1.5,37.86635,West Berkeley
-122.30101,Berkeley,2,345,4265.0,2.0,37.86635,West Berkeley
-122.263867,Berkeley,Studio,15,1995.0,1.0,37.867369,Southside
-122.26623,Berkeley,Studio,112,1795.0,1.0,37.875837,North Berkeley
-122.26623,Berkeley,1,112,1995.0,1.0,37.875837,North Berkeley
-122.244375,Berkeley,2,106,2595.0,1.0,37.858872,Claremont Elmwood
-122.246852,Berkeley,5,206,10700.0,5.0,37.852344,Claremont Elmwood
-122.259145,Berkeley,1,118,2395.0,1.0,37.862505,Southside
-122.259145,Berkeley,2,118,3995.0,2.0,37.862505,Southside
-122.27025,Berkeley,2,163,2995.0,1.0,37.879923,North Berkeley
-122.26953,Berkeley,1,59,1133.0,1.0,37.86793,Southside
-122.26953,Berkeley,2,59,3094.0,1.0,37.86793,Southside
-122.268924,Berkeley,Studio,93,2900.0,1.0,37.866085,Southside
-122.268924,Berkeley,1,93,8533.33,1.3,37.866085,Southside
-122.268924,Berkeley,2,93,14166.67,1.7,37.866085,Southside
-122.268924,Berkeley,3,93,19800.0,2.0,37.866085,Southside
-122.284437,Berkeley,2,8,2400.0,1.0,37.852362,West Berkeley
