longitude,city,beds,days_on_mls,rent,baths,zip_code,latitude
-122.272074,Berkeley,1,103,$2695.00/mo,1.0,94704,37.86338
-122.272074,Berkeley,2,103,$3672.50/mo,1.5,94704,37.86338
-122.272074,Berkeley,3,103,$4650.00/mo,2.0,94704,37.86338
-122.277557,Berkeley,2,22,$3200.00/mo,1.0,94703,37.874301
-122.288962,Berkeley,1,44,$2195.00/mo,1.0,94706,37.882463
-122.27,Berkeley,Studio,1,$2495.00/mo,1.0,94709,37.882631
-122.276196,Berkeley,1,198,$2095.00/mo,1.0,94703,37.881373
-122.275781,Berkeley,2,190,$2495.00/mo,1.0,94703,37.879029
-122.286144,Berkeley,Studio,311,$2331.00/mo,1.0,94702,37.851819
-122.286144,Berkeley,1,311,$2719.00/mo,1.3,94702,37.851819
-122.286144,Berkeley,2,311,$3107.00/mo,1.7,94702,37.851819
-122.286144,Berkeley,3,311,$3495.00/mo,2.0,94702,37.851819
-122.270094,Berkeley,2,0,$2595.00/mo,1.0,94704,37.864359
-122.267866,Berkeley,Studio,148,$2100.00/mo,1.0,94707,37.891018
-122.29918,Berkeley,Studio,81,$2688.00/mo,1.0,94710,37.8673
-122.29918,Berkeley,1,81,$3427.00/mo,1.5,94710,37.8673
-122.29918,Berkeley,2,81,$4166.00/mo,2.0,94710,37.8673
-122.30101,Berkeley,Studio,345,$2270.00/mo,1.0,94710,37.86635
-122.30101,Berkeley,1,345,$3267.50/mo,1.5,94710,37.86635
-122.30101,Berkeley,2,345,$4265.00/mo,2.0,94710,37.86635
-122.263867,Berkeley,Studio,15,$1995.00/mo,1.0,94704,37.867369
-122.26623,Berkeley,Studio,112,$1795.00/mo,1.0,94709,37.875837
-122.26623,Berkeley,1,112,$1995.00/mo,1.0,94709,37.875837
-122.244375,Berkeley,2,106,$2595.00/mo,1.0,94705,37.858872
-122.246852,Berkeley,5,206,$10700.00/mo,5.0,94705,37.852344
-122.259145,Berkeley,1,118,$2395.00/mo,1.0,94704,37.862505
-122.259145,Berkeley,2,118,$3995.00/mo,2.0,94704,37.862505
-122.27025,Berkeley,2,163,$2995.00/mo,1.0,94709,37.879923
-122.26953,Berkeley,1,59,$1133.00/mo,1.0,94704,37.86793
-122.26953,Berkeley,2,59,$3094.00/mo,1.0,94704,37.86793
-122.268924,Berkeley,Studio,93,$2900.00/mo,1.0,94704,37.866085
-122.268924,Berkeley,1,93,$8533.33/mo,1.3,94704,37.866085
-122.268924,Berkeley,2,93,$14166.67/mo,1.7,94704,37.866085
-122.268924,Berkeley,3,93,$19800.00/mo,2.0,94704,37.866085
-122.284437,Berkeley,2,8,$2400.00/mo,1.0,94702,37.852362
-122.268743,Berkeley,2,1,$2345.00/mo,1.0,94710,37.796411
-122.257259,Berkeley,Studio,6,$1976.67/mo,,94709,37.876703
-122.292775,Berkeley,2,8,$2650.00/mo,1.0,94710,37.860955
-122.26171,Berkeley,2,8,$2495.00/mo,1.0,94704,37.864973
-122.277784,Berkeley,,21,$3301.35/mo,,94703,37.871607
-122.268226,Berkeley,1,0,$1995.00/mo,1.0,94704,37.8636
